,0,1
0,خیلی کوچیک هستن و سایزشون بدرد نمیخوره میخوام پس بدم,SAD
1,از صدای پرنده دم دمای صبح متنفرم متنفرم متنفرم,HATE
2,""" """"کیفیتش خیلی خوبه با شک خریدم ولی واقعا راضیم بعد از حدود 2 ماه استفاده«متأسفانه باخبر شدیم» که فردی در ایرانشهر به حداقل 41 دختر تجاوز کرده. امیدواریم با همکاری نمایندگان محترم مجلس و دستگاه قضا، دیگه به این راحتی باخبر نشیم.""",SAD
3,چون همش با دوربین ثبت شده ، ایا میشه اعتراض زد؟؟ و اصن تاثیر داره؟ کسی اگه اطلاعی داره ممنون میشم راهنمایی کنید,OTHER
4,اين وضع ب طرز خنده داري گريه داره ...,SAD
5,خب من رسما از یک نفر متنفرم،چون از گربه بدش میاد از صبح شروع کرده رو مخ من راه رفتن؛شپش میگیری،کزاز میگیری،کک داره ،درد داره،مرض داره و اینقدر تکرار کرده که تا سرم میخاره میپرم جلوی آینه نگاه میکنم یه وقت شپش نگرفته باشم... عوضی ازش متنفرم بهش گفته بودم منو رو یه چیزی حساس نکن,HATE
6,داشتم خواب میدیدم یهو توی خواب گفتم بیاین درینک بزنیم خواب ترسناک ببینیم ی پیک زدیم و دقیقا همونطور شد و من با ضربان ۱۱۰ از خواب پریدم و ساعت ۴ صبحه؟ ذهن بیمارتر از منم دیدین؟ ژانر شنگول منگول خوابمو چرا عوض کردم چرااا,FEAR
7,"""اصلا ارزش خرید نداره فقط رو مخ میره""""""",ANGRY
8,اونجایه آدمه مفعول ودروغگو...عجب خرایی داریم واقعا...روز روشن میگه شبه!!!اسم اینوچی میشه گذاشت دیگه؟من دسترسی ندارم بهش میخام بگم یه اسمی خودت بگوبرات بذاریم البته آخرش یه ...کش داشته باشه!,ANGRY
9,"""من این گوشی رو اعصابم بهم ریخت کوبیدم تودیوار له شده السیدیش اما هنوزم کارمیکنه حرف نداره گوشیش""""""",HAPPY
10,تا این مفسد فی الارض به سزای اعمالش نرسه و ۲۰۰ هزار تومن جریمه نشه من آروم نمی گیریم #سعید_طوسی,ANGRY
11,فاجعه فقط به زیرگرفتن ختم نشده طبق گزارش پزشکی قانونی، حدود۵۰ تیرساچمهای در #سینه یکی از #شهدای_فاطمیه ثبت شده است. #شهید_محمدحسین_حدادیان #دراویش_داعشی وحشی,SAD
12,اگر در دولت احمدینژاد اتفاق میافتاد انقدر عصبانی نمیشدم؛ اما باید بگویم سایت و اپ #گودریدز در دولت تدبیر و امید #فیلتر شده است. احسنت آقای #روحانی. احسنت وزیرِ جوان؛ آقای #جهرمی . #goodreads   #وحید_آنلاین,ANGRY
13,پوست لبمو هرچی میکنم باز کنده میشه و تا ثریا میره. نه اون جور با کیف و لذت. اون جور ترسناک و سوزاننده,FEAR
14,چرا چهار صبح باید مطلب خوندن درباره آمار تجاوز تو دنیا برام انقدر جذابیت پیدا کنه؟؟,SURPRISE
15,بچه که بودم خواهرم از بانک که میومد چند ساعتی میخوابید بهش اعتراض میکردم چرا انقد میخوابی میگفت تو دنیا هیچی لذت بخش تر از خواب نیست.. الان به حرفش رسیدم,HAPPY
16,فردا بالاخره میخوام برم دانشگاه خودمون! اسمشو نبر :)) منتظر کصافط شدن اعصابم توسط کارکنان حراست و خانمهای حجاب هستم,ANGRY
17,امروز رفتم پیش آقا رضا چاپ اول کتاب خشم و هیاهوی فاکنر رو گذاشته بود تو حراجی کتابش یکسال از بابای من کوچکتره,OTHER
18, عزیزم مشکل اینجاست که فرهنگمونو باختیم بدم باختیم.,SAD
19,به نظرم نامه مربوط به #اصلاح_اصلاحات به #سید_محمد_خاتمی صرفا در جهت زدودن افکار و اعمالی است که ما به جریان رقیب انتقاد داریم ولی کسانی با نام اصلاحطلبی اونا رو انجام میدن، وقتی در انتخابات انجمن اسلامی اصلاحطلبِ دانشگاه دست به رد صلاحیت میزنند پس باید این اصلاحات انجامپذیرد.,OTHER
